scenario,commit,timestamp,mode,strategy,batcher,workers,writers,batch,delay_ms,capacity,prefetch,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"confirmed-multi-row-values","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:24:47.7644558+00:00",Queue,MultiRowValues,Channel,2,2,100,5,2000,400,Uniform,750000,83.664151,8964.413,8964.413,94.089,598.213,1610.070,94.161,598.508,1610.255,0,True
"confirmed-table-valued-parameter","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:25:42.3296802+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,750000,25.788777,29082.418,29082.418,167.226,337.187,386.287,179.985,356.232,417.832,0,True
"confirmed-multi-row-values","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:27:37.7364405+00:00",Queue,MultiRowValues,Channel,2,2,100,5,2000,400,Uniform,750000,85.140466,8808.972,8808.972,96.828,614.082,1004.166,96.887,614.358,1004.576,0,True
"confirmed-individual","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:34:42.8662924+00:00",Queue,Individual,None,2,4,1,5,1000,250,Uniform,750000,387.755602,1934.208,1934.208,9.793,26.355,165.927,9.805,26.370,165.978,0,True
"confirmed-individual","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:41:08.3194977+00:00",Queue,Individual,None,2,4,1,5,1000,250,Uniform,750000,365.388194,2052.611,2052.611,9.219,22.680,161.765,9.230,22.697,161.785,0,True
"confirmed-individual","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:48:18.3289077+00:00",Queue,Individual,None,2,4,1,5,1000,250,Uniform,750000,407.245396,1841.641,1841.641,9.555,27.412,195.078,9.567,27.428,195.111,0,True
"confirmed-bulk-copy","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:49:18.2512685+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,750000,36.508426,20543.203,20543.203,129.791,194.148,339.239,133.588,198.083,339.335,0,True
"confirmed-bulk-copy","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:50:23.1112937+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,750000,37.349004,20080.857,20080.857,113.000,161.420,1865.421,117.060,164.903,1870.590,0,True
"confirmed-multiple-statements","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:51:43.0370367+00:00",Queue,MultipleInsertStatements,Channel,4,2,50,5,2000,200,Uniform,750000,49.563602,15132.072,15132.072,94.890,135.181,158.010,94.948,135.241,158.063,0,True
"confirmed-table-valued-parameter","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:52:42.8123761+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,750000,36.163772,20738.987,20738.987,175.972,1730.368,2099.714,190.449,1772.504,2148.327,0,True
"confirmed-table-valued-parameter","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:53:38.2721780+00:00",Queue,TableValuedParameter,Channel,1,2,5000,5,10000,20000,Uniform,750000,31.306418,23956.749,23956.749,118.336,237.850,375.189,127.944,249.671,396.098,0,True
"confirmed-multiple-statements","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:55:33.0226370+00:00",Queue,MultipleInsertStatements,Channel,4,2,50,5,2000,200,Uniform,750000,88.505308,8474.068,8474.068,105.983,646.287,1299.604,106.044,646.507,1299.829,0,True
"confirmed-bulk-copy","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:56:28.0828501+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,750000,34.420353,21789.434,21789.434,133.038,201.799,318.650,137.938,205.314,321.369,0,True
"confirmed-multi-row-values","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:58:22.9991089+00:00",Queue,MultiRowValues,Channel,2,2,100,5,2000,400,Uniform,750000,85.726750,8748.728,8748.728,96.616,663.058,1245.940,96.694,663.198,1246.016,0,True
"confirmed-multiple-statements","c6d34691c004ad6967c5e372b77d820e57b3dd0f","2026-09-04T17:59:43.1763639+00:00",Queue,MultipleInsertStatements,Channel,4,2,50,5,2000,200,Uniform,750000,53.848769,13927.895,13927.895,100.456,154.171,265.884,100.511,154.240,265.983,0,True
