scenario,commit,timestamp,mode,strategy,sql_execution,batcher,workers,writers,batch,delay_ms,capacity,prefetch,sqlbatch_max_commands,sqlbatch_delay_ms,sqlbatch_request_concurrency,dml_execute_calls,sql_commands,rows_per_execute,mean_commands_per_execute,p95_commands_per_execute,max_commands_per_execute,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"confirmed-sqlbatch-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:21:19.9771878+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,50000,50000,1.000,1.000,1,1,Uniform,50000,37.498742,1333.378,1333.378,8.708,13.078,118.620,8.725,13.105,118.984,0,True
"confirmed-sqlbatch-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:23:54.9711420+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,50000,50000,1.000,1.000,1,1,Uniform,50000,74.147069,674.335,674.335,8.139,120.393,355.200,8.153,120.490,355.216,0,True
"confirmed-sqlbatch-individual-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:14:54.9531891+00:00",Queue,Individual,Native,None,1,4,1,5,1000,250,1,1,1,50000,50000,1.000,1.000,1,1,Uniform,50000,25.251886,1980.050,1980.050,7.477,10.757,13.953,7.494,10.781,13.983,0,True
"confirmed-sqlbatch-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:38:30.5681072+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,50000,50000,1.000,1.000,1,1,Uniform,50000,149.425473,334.615,334.615,34.709,55.535,503.432,34.731,55.583,503.447,0,True
"confirmed-sqlbatch-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:29:14.8584332+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,50000,50000,1.000,1.000,1,1,Uniform,50000,147.417028,339.174,339.174,33.751,54.534,524.473,33.780,54.565,524.525,0,True
"confirmed-sqlbatch-individual-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:17:44.7159736+00:00",Queue,Individual,SqlBatch,None,1,4,1,5,1000,250,1,1,4,50000,50000,1.000,1.000,1,1,Uniform,50000,139.399712,358.681,358.681,31.580,49.459,541.297,31.602,49.499,541.387,0,True
"confirmed-sqlbatch-multi-row-values-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:26:45.3007265+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,5000,5000,100.000,1.000,1,1,Uniform,500000,33.941001,14731.445,14731.445,131.637,159.939,1644.317,131.835,160.061,1647.676,0,True
"confirmed-sqlbatch-multi-row-values-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:34:05.6045285+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,5003,5003,99.940,1.000,1,1,Uniform,500000,46.329500,10792.260,10792.260,128.332,1026.554,2311.147,128.534,1026.709,2312.180,0,True
"confirmed-sqlbatch-multi-row-values-native","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:35:00.7003341+00:00",Queue,MultiRowValues,Native,Channel,1,4,100,5,2000,800,1,1,1,5001,5001,99.980,1.000,1,1,Uniform,500000,34.441986,14517.165,14517.165,137.277,220.898,794.151,137.519,221.020,795.209,0,True
"confirmed-sqlbatch-multi-row-values-sqlbatch","31f7deca527cbd5e03b2c74ee16bdab835f1ea42","2026-09-05T00:13:00.2564832+00:00",Queue,MultiRowValues,SqlBatch,Channel,1,4,100,5,2000,800,1,1,4,5000,5000,100.000,1.000,1,1,Uniform,500000,25.552320,19567.695,19567.695,118.956,149.567,183.310,119.162,149.780,183.532,0,True
