scenario,commit,timestamp,mode,strategy,batcher,workers,writers,batch,delay_ms,capacity,prefetch,distribution,rows,duration_s,committed_rows_s,ack_s,p50_commit_ms,p95_commit_ms,p99_commit_ms,p50_ack_ms,p95_ack_ms,p99_ack_ms,errors,correct
"control-noop-queue","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:54:05.4014074+00:00",NoOpQueue,BulkCopy,Channel,4,4,1000,1,16000,4000,Uniform,100000,2.871521,0.000,34824.753,0.010,0.040,1.500,0.018,0.084,6.221,0,True
"broad-tablevaluedparameter-hotparent","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:54:07.8407010+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,4000,1000,HotParent,10000,0.820980,12180.562,12180.562,89.016,326.658,349.131,90.151,327.663,349.561,0,True
"broad-individual-moderateskew","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:54:39.1028522+00:00",Queue,Individual,None,1,4,1,5,1000,250,ModerateSkew,10000,10.780088,927.636,927.636,8.319,99.215,119.850,8.324,99.253,119.884,0,True
"broad-bulkcopy-hotparent","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:54:45.3165395+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,HotParent,10000,3.746279,2669.315,2669.315,1321.330,1821.344,1830.724,1325.782,1828.939,1831.663,0,True
"broad-individual-hotparent","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:54:58.9134710+00:00",Queue,Individual,None,1,4,1,5,1000,250,HotParent,10000,5.700625,1754.194,1754.194,7.560,11.470,16.403,7.573,11.482,16.410,0,True
"broad-bulkcopy-uniform","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:00.3864103+00:00",Queue,BulkCopy,Channel,1,2,1000,5,8000,2000,Uniform,10000,0.761661,13129.192,13129.192,162.143,364.450,368.740,164.947,367.849,369.230,0,True
"broad-tablevaluedparameter-moderateskew","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:01.9402629+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,4000,1000,ModerateSkew,10000,0.947158,10557.901,10557.901,133.132,259.349,306.717,136.044,262.040,307.250,0,True
"broad-multipleinsertstatements-moderateskew","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:04.9475976+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,ModerateSkew,10000,1.574006,6353.216,6353.216,48.013,87.945,259.254,48.133,87.989,259.456,0,True
"broad-individual-uniform","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:19.0150166+00:00",Queue,Individual,None,1,4,1,5,1000,250,Uniform,10000,5.605441,1783.981,1783.981,7.620,11.203,14.072,7.632,11.214,14.078,0,True
"broad-tablevaluedparameter-uniform","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:20.5181038+00:00",Queue,TableValuedParameter,Channel,1,2,500,5,4000,1000,Uniform,10000,0.904091,11060.829,11060.829,128.264,296.398,333.528,130.691,298.589,333.806,0,True
"broad-multipleinsertstatements-uniform","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:23.2844861+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,Uniform,10000,1.950149,5127.812,5127.812,64.747,129.096,210.128,64.826,129.138,210.152,0,True
"broad-multirowvalues-hotparent","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:26.1127601+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,HotParent,10000,1.242265,8049.815,8049.815,65.907,257.974,299.561,66.056,257.997,299.594,0,True
"broad-multirowvalues-moderateskew","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:27.9205861+00:00",Queue,MultiRowValues,Channel,1,2,100,5,2000,400,ModerateSkew,10000,1.178316,8486.687,8486.687,73.590,234.041,274.561,73.687,234.077,274.586,0,True
"broad-multipleinsertstatements-hotparent","e0d9785371713fd13ea2de2b3471eb7c806fad3e","2026-09-04T16:55:30.7260988+00:00",Queue,MultipleInsertStatements,Channel,1,2,50,5,2000,200,HotParent,10000,2.233069,4478.142,4478.142,75.767,169.501,213.204,75.857,169.545,213.317,0,True
